##name	Shakespeare Words
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2003/04/26, 23:14
##author	Andy Boyle
##email	andyboyle@videotron.ca
##description	Shakespeare into modern english
##browsingEnabled	
##bgl_creationTime	2003/01/19, 16:41
8EAF66FD.bmp	File: 8EAF66FD.bmp
vault	place where wine is kept, or the earth with its vaulted (arched) sky
Vaunt	COURIERS, forerunners, boast
VAWARD	the van, vanguard, advanced guard of an army Hence, metaphorically, the first of anything
VEGETIVES	herbs
VELURE	velvet
VELVET	GUARDS literally, velvet trimmings; applied metaphorically to the citizens who wore them
VENEW	a bout in fencing, metaphorically applied to repartee and sallies of wit
VENEY	a bout at fencing
VENGE	to avenge
VENTAGES	holes in a flute or flageolet
VERBAL	wordy
verdure	vitality, health. [The Tempest]
verity	truthfulness
VERY	true, real
vestal livery	virgin uniform. [Romeo and Juliet]
VIA	int. off with you!
VICE	the buffoon in the old morality plays
VIE	to challenge; a term at cards; to play as for a wager
VIEWLESS	invisible
VILLAIN	a lowborn man
villanies	evil qualities. [Macbeth]
VINEWED	mouldy
VIOL	DE-GAMBOYS a bass viol
virgin hue	whiteness; the Elizabethans usually spoke of silver as being white. [The Merchant of Venice]
VIRGINALLING	playing as on the virginals, a kind of a spinet
Virtue	the essential excellence, valour, power
VIRTUOUS	excellent Endowed with virtues
VIZAMENT	advisement
vizards	masks
void your rheum	spit. [The Merchant of Venice]
VOLUBLE	fickle
VOLUNTARY	volunteer
VOTARIST	votary, one who has taken a vow
Vouch	assert, bear witness
vouch'd	assured, warranted
Vouchsafe	to grant (normally suggestive of prayer, humility, and respectful to things Divine)
VULGAR	common
vulgar, the	the common people. [Julius Caesar] W
VULGARLY	publicly
Waft	to beckon
WAFTAGE	passage
wafter	wave. [Julius Caesar]
WAFTURE	waving, beckoning
Wag	to move, to stir
WAGE	to reward as with wages
WAILFUL	lamentable
WAIST	the middle of a ship
WANNION	'with a vengeance.'
want-wit	one who lacks wits. [The Merchant of Venice]
WAPPENED	withered, overworn
WARD	guard Prison
WARDEN	a large pear used for baking
WARDER	truncheon
WARN	to summon
warranted	justified
wassail	drinking, partying [audio]
WAT	a familiar word for a hare
WATCH	to tame by keeping constantly awake
watch him tame	keep after him until he agrees with you. [Othello]
watchful cares	cares that keep one awake. [Julius Caesar]
watching	waking
water	rugs water dogs, a kind of poodle
WATER-RUG	a kind of dog
water-rugs	rough water dogs. [Macbeth]
WAX	to grow
WAXEN	perhaps, to hiccough
weak supposal	poor opinion. [Hamlet]
weal	welfare, can also be used to mean skin raised by a blow (welt)
WEALTH	weal, advantage
WEAR	fashion
WEATHER	FEND to defend from the weather WEB AND PIN the cataract in the eye
weather-fends	protects from the weather. [The Tempest]
WEB AND PIN	the cataract in the eye
WEE	small, tiny
WEED	garment
WEET	to wit, know
WEIGH OUT	to outweigh
weird sisters	weird, meant fateful, as in the three fates of Graeco-Roman mythology. [Macbeth]
welkin	sky, one of the elements. [Twelfth Night]
WELL	LIKING in good condition
well bethought	a good idea, a timely reminder
well conceited	both correctly conceived and aptly expressed. [Julius Caesar]
WELL SAID	int. well done!
WEND	to go
weraday	alas the day. [Romeo and Juliet]
WESAND	the wind-pipe
whe'r	frequent in Shakespeare for whether. [Julius Caesar]
WHELK	a weal
WHELKED	marked with whelks or protuberances
WHEN	an exclamation of impatience
WHEN AS	when
whence	where
WHERE	whereas
wherefore	why
whey	face pallid (white) face, as from fear
WHIFFLER	an officer who clears the way in processions
WHILE	ERE: a little while ago
while then	till then
WHILES	until
WHIP	STOCK: handle of a whip
whispers	whispers to
WHIST	hushed, silent
WHITE	the centre of an archery butt
white-upturned	with eyes rolled, as in the whites of the eyes turned upward. [Romeo and Juliet]
whitehearted	cowardly
WHITELY	pale-faced. A doubtful word
WHITING	TIME: bleaching time
WHITSTER	bleacher
WHITTLE	a clasp knife
wholesome	healthy
WHOO	BUB hubbub
WHOOP	to cry out with astonishment
whoreson	worthless (literally bastard). [Hamlet]
WICKED	noisome, baneful
WIDOW	to give a jointure to
WIDOWHOOD	widow's jointure
wight	person
WILD	weald
wild-goose chase	my following you. The term "wild-goose chase" was applied to a contest where two riders started together and as soon as one obtained the lead, the other had to follow over the same ground, unless he could overtake him, when the position was reversed. The name is taken from the way a flock of geese flies in a line. The phrase has a rather different meaning now. [Romeo and Juliet]
WILDERNESS	wildness
will he, nill he	willy-nilly, whether he wishes or not. [Hamlet]
willow cabin	small hut with willow (the sign of unrequited love) before it. [Twelfth Night]
wilt	must. [Romeo and Juliet]
WIMPLED	veiled, hooded
windlasses	roundabout means, indirect attempts. [Hamlet]
WINDOW	BARS
WINDRING	winding
WINTER	GROUND: to protect (a plant) from frost
WIS	in the compound 'I wis,' certainly
Wise-woman	a witch
WISH	to commend
WISTLY	wistfully
WIT	knowledge, wisdom
witches' mummy	human flesh mummified
withal	with
without	outside
witness	testimony, evidence
WITS	five, the five senses
WITTOL	a contented cuckold
WITTY	intelligent
WOMAN	TIRED: hen-pecked WONDERED: marvellously gifted
wonder-wounded	overcome with wonder. [Hamlet]
WONDERED	marvellously gifted
wondrous sensible	very deeply felt. [The Merchant of Venice]
WOOD	mad WOODCOCK a simpleton
WOODCOCK	a simpleton
WOODMAN	a forester, huntsman; A cant term for a wencher
WOOLWARD	shirtless
WORD	to flatter or put off with words; To repeat the words of a song
WORLD	'To go to the world' is to get married So 'a woman of the world' is a married woman
worlds	heaven and earth
worm	small serpent
WORSER	worse
worser genius	bad spirit. [The Tempest]
WORSHIP	to honour
WORTH	wealth, fortune
WORTS	cabbages
WOT	to know
WOUND	twisted about
wrack	ruin
WREAK	to avenge
WREAKFUL	revengeful, avenging
WREST	an instrument used for tuning a harp
WRIT	gospel, truth
WRITHLED	shrivelled
WROTH	calamity, misfortune
wrought	agitated
WRUNG	twisted, strained
WRY	to swerve
X	Y
XANTHIPPE	Socrate's scolding wife
Y	CLAD
Yare	ready, nimble
YARELY	readily
YAW	out of control
yawning peal	a peal which lulls to sleep
YEARN	to grieve, vex
YELLOWNESS	jealousy
YELLOWS	a disease of horses
YEOMAN	a sheriff's officer
Yerked|Yerk'd	stabbed
yesty	foamy (from the yeast used to make beer)
yew	a tree thought to be poisonous
YIELD	to reward; To report
yoeman	a property owner, but beneath a gentleman in social rank. [King Lear]
YOND	and yonder
young-eyed	the cherubim, according to Ezekiel 10:12: were endowed with keenness of vision above all other heavenly creatures. [The Merchant of Venice]
YOUNKER	tyro
your mind hold	if you don't change your mind; if you are still sane. [Julius Caesar]
yours	your relatives
ZANY	a clown
zealous	earnest, passionate, devoted
~ B ~	BACCARE: keep back
~ C ~	CADDIS: worsted galloon, so called because it resembles the caddis-worm
~ D ~	DAFF: to befool; to put off; this seems to be a corruption of 'doff.'
~ E ~	EAGER: sour; harsh; biting
~ F ~	FACINOROUS: wicked
~ G ~	GABERDINE: a loose outer coat, or smock frock
~ H ~	HACK: to become common
~ I ~	ICE-BROOK: an icy-cold brook
~ J ~	JACK: a mean fellow
~ K ~	KAM: crooked
~ L ~	LABRAS: lips
~ M ~	MADE: having his fortune made
~ N ~	NAPKIN: a handkerchief
~ P ~	PACK: to practice unlawful confederacy; a number of people confederated
~ Q ~	QUAIL: to faint, be languid, be afraid; to cause to quail
~ R ~	RABATO: a ruff
~ S ~	SACRIFICIAL: reverent, as words used in religious worship
~ T ~	TABLE: a tablet, note-book
~ U ~	UMBERED: stained, dark, as with umber
~ V ~	VADE: to fade
~ W ~	WAFT: to wave, beckon; To turn
~ X ~	XANTHIPPE: Socrate's scolding wife
~ Y ~	YARE: ready, being understood
~ Z ~	ZANY: a clown, gull
